Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Symptoms of COVID-19	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
What are the symptoms of COVID-19?	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
How do I know if I have COVID-19?	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
What if I have a fever?	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
What if I have a cough?	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
What if I have shortness of breath?	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
What if I have lost my sense of smell?	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
What if I have lost my sense of taste?	Common symptoms of COVID-19 include:\n\n*   [a fever (high temperature - 38 degrees Celsius or above)](https://www2.hse.ie/conditions/fever-in-adults.html)\n*   [a new cough](https://www2.hse.ie/conditions/cough.html) - this can be any kind of cough, not just dry\n*   [shortness of breath](https://www2.hse.ie/conditions/shortness-of-breath.html) or breathing difficulties\n*   [loss or change to your sense of smell or taste](https://www2.hse.ie/conditions/lost-or-changed-sense-of-smell.html) – this means you've noticed you cannot smell or taste anything, or things smell or taste different to normal\n\nYou may not have all of these symptoms. It can take up to 14 days for symptoms to show. They can be similar to symptoms of cold and flu.\n\nAn early diagnosis from your GP means you can get the help you need and avoid spreading the virus, if you have it.\n\n**Call the emergency services on 112 or 999 if you are very short of breath. For example, if you are so short of breath that you cannot complete a sentence.**\n\n[How to manage symptoms of COVID-19 at home](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/treat-symptoms-at-home.html)\n\nSelect an option for more information:	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":2,"qnaId":4,"displayText":"Compare symptoms of COVID-19, flu and cold"},{"displayOrder":0,"qnaId":2,"displayText":"When to self-isolate"}]	1
When to self-isolate	If you have any common symptoms of COVID-19 (coronavirus), [self-isolate (stay in your room)](https://www2.hse.ie/conditions/coronavirus/self-isolation/how-to-self-isolate.html) and [phone a GP](https://www2.hse.ie/services/find-a-gp/) straight away. Your GP will tell you if you need a free COVID-19 test.\n\n[Read about how to get tested for COVID-19](https://www2.hse.ie/conditions/coronavirus/testing/how-to-get-tested.html).\n\nOther people in your household will need to [restrict their movements (stay at home)](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/if-you-live-with-someone-who-has-coronavirus.html).	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":1,"qnaId":1,"displayText":"Symptoms of COVID-19"}]	2
What should I do?	If you have any common symptoms of COVID-19 (coronavirus), [self-isolate (stay in your room)](https://www2.hse.ie/conditions/coronavirus/self-isolation/how-to-self-isolate.html) and [phone a GP](https://www2.hse.ie/services/find-a-gp/) straight away. Your GP will tell you if you need a free COVID-19 test.\n\n[Read about how to get tested for COVID-19](https://www2.hse.ie/conditions/coronavirus/testing/how-to-get-tested.html).\n\nOther people in your household will need to [restrict their movements (stay at home)](https://www2.hse.ie/conditions/coronavirus/managing-coronavirus-at-home/if-you-live-with-someone-who-has-coronavirus.html).	https://www2.hse.ie/conditions/coronavirus/symptoms.html		[]	false	[{"displayOrder":1,"qnaId":1,"displayText":"Symptoms of COVID-19"}]	2
